"","Per person","Population"
"Total",265.488375919189,50037611.4231139
"1st revision probabilities",246.851126283444,46524977.5760002
"2nd and higher revision probabilities",0.841208213486482,158545.735068946
"primary utilities",25.6312546007086,4830820.76025634
"revision utilities",0.427785084877883,80626.2939972888
"primary costs",2.67205189960333,503611.859433884
"revision costs",0,0
